,University,Approved Amount,Coordinates,Canton
0,AO Research Institute - AORI,3435621.0,"{'lng': 9.8136932, 'lat': 46.7771199}",GR
1,Allergie- und Asthmaforschung - SIAF,19169965.0,"{'lng': 9.8200409, 'lat': 46.7954192}",GR
2,Berner Fachhochschule - BFH,31028695.0,"{'lng': 7.621387700000001, 'lat': 47.0574225}",BE
3,Biotechnologie Institut Thurgau - BITG,2492535.0,"{'lng': 9.161303, 'lat': 47.64832730000001}",TG
4,Centre de rech. sur l'environnement alpin - CREALP,1567678.0,"{'lng': 7.367433499999999, 'lat': 46.2285589}",VS
5,EPF Lausanne - EPFL,1175315913.92,"{'lng': 6.566757600000001, 'lat': 46.5190557}",VD
6,ETH Zürich - ETHZ,1635596618.2500002,"{'lng': 8.547669899999999, 'lat': 47.376313}",ZH
7,Eidg. Anstalt für Wasserversorgung - EAWAG,74619222.37,"{'lng': 8.609547599999999, 'lat': 47.4037666}",ZH
8,"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",48360389.63,"{'lng': 8.456272, 'lat': 47.360093}",ZH
9,Eidg. Hochschulinstitut für Berufsbildung - EHB,2086572.0,"{'lng': 7.450692999999999, 'lat': 47.001506}",BE
10,Eidg. Material und Prüfungsanstalt - EMPA,58574515.92,"{'lng': 8.618307, 'lat': 47.402177}",ZH
11,Ente Ospedaliero Cantonale - EOC,5067172.0,"{'lng': 9.026636499999999, 'lat': 46.1968913}",TI
12,Fachhochschule Kalaidos - FHKD,1090280.0,"{'lng': 8.543825, 'lat': 47.415454}",ZH
13,Fachhochschule Nordwestschweiz (ohne PH) - FHNW,42771914.12000001,"{'lng': 7.907826, 'lat': 47.348233}",SO
14,Fachhochschule Ostschweiz - FHO,4437056.0,"{'lng': 9.363574999999999, 'lat': 47.4208058}",SG
15,Facoltà di Teologia di Lugano - FTL,8000.0,"{'lng': 8.9579396, 'lat': 46.0106931}",TI
16,Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,12000.0,"{'lng': 7.983177, 'lat': 46.317923}",VS
18,Forschungsinstitut für Opthalmologie - IRO,3478469.0,"{'lng': 9.0534833, 'lat': 48.523927}",BW
19,Forschungsinstitut für biologischen Landbau - FIBL,7442410.0,"{'lng': 8.638150000000001, 'lat': 50.12062}",HE
20,Forschungskommission SAGW,100000.0,"{'lng': 7.436539, 'lat': 46.947241}",BE
21,Franklin University Switzerland - FUS,65956.0,"{'lng': 8.938819, 'lat': 45.997588}",TI
22,Friedrich Miescher Institute - FMI,40229142.61,"{'lng': 7.603559899999998, 'lat': 47.56774159999999}",BS
23,HES de Suisse occidentale - HES-SO,34162965.46,"{'lng': 7.3522363, 'lat': 47.3625918}",JU
24,"Haute école pédagogique BE, JU, NE - HEPBEJUNE",627380.0,"{'lng': 7.351272, 'lat': 47.362856}",JU
25,Haute école pédagogique du canton de Vaud - HEPL,1430686.0,"{'lng': 6.6215937, 'lat': 46.5128571}",VD
26,Haute école pédagogique fribourgeoise - HEPFR,1547498.0,"{'lng': 7.159208400000001, 'lat': 46.8111769}",FR
27,Hochschule Luzern - HSLU,10768116.36,"{'lng': 8.314912, 'lat': 47.046681}",LU
28,Idiap Research Institute - IDIAP,22183105.2,"{'lng': 7.084442999999999, 'lat': 46.109376}",VS
29,Inst. Suisse de Spéléologie et Karstologie - ISSKA,624819.0,"{'lng': 6.823160199999999, 'lat': 47.09975319999999}",NE
30,Inst. de Hautes Etudes Internat. et du Dév - IHEID,38864231.6,"{'lng': 6.143691599999999, 'lat': 46.22091630000001}",GE
31,Inst. universit. romand de Santé au Travail - IST,6882729.85,"{'lng': 6.661678900000001, 'lat': 46.5432643}",VD
32,Institut Universitaire Kurt Bösch - IUKB,1977340.0,"{'lng': 7.3987243, 'lat': 46.2301033}",VS
33,Institut für Kulturforschung Graubünden - IKG,1219681.0,"{'lng': 9.533924299999999, 'lat': 46.85109979999999}",GR
34,Instituto Ricerche Solari Locarno - IRSOL,951238.0,"{'lng': 8.789081999999999, 'lat': 46.1768822}",TI
35,Interkant. Hochschule für Heilpädagogik ZH - HfH,2839872.0,"{'lng': 8.5471186, 'lat': 47.4032152}",ZH
